state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
MT,1978,941169,1489,140,1625,37,451,488,1526,591,2113,2.25
NB,1978,1736762,2696,299,2993,76,622,698,2772,921,3691,2.13
NC,1978,5648130,8542,766,9308,518,983,1501,9060,1749,10809,1.91
ND,1978,656007,789,55,844,72,113,185,861,168,1029,1.57
NH,1978,1028242,1295,113,1408,53,164,217,1348,277,1625,1.58
NJ,1978,7368125,21104,1565,22645,449,2647,3096,21553,4212,25741,3.49
NM,1978,1403508,2092,345,2437,138,591,729,2230,936,3166,2.26
NV,1978,665055,1795,309,2104,131,563,694,1926,872,2798,4.21
NY,1978,19066278,44787,2736,47523,932,4988,5920,45719,7724,53443,2.8
OH,1978,12683019,16520,1394,17909,563,2419,2982,17083,3813,20891,1.65
OK,1978,3147473,4640,456,5091,257,693,950,4897,1149,6041,1.92
OR,1978,2519708,3488,241,3726,145,1011,1156,3633,1252,4882,1.94
OT,1978,0,,,,,,,,,,
PA,1978,12282312,20135,1414,21549,478,1443,1921,20613,2857,23470,1.91
PR,1978,3045000,0,0,,,,,,,,
RI,1978,953850,1909,196,2105,25,159,184,1934,355,2289,2.4
SC,1978,3004595,4170,398,4568,185,576,761,4355,974,5329,1.77
SD,1978,808163,823,70,893,35,163,198,858,233,1091,1.35
TN,1978,4658174,6903,835,7738,254,1039,1293,7157,1874,9031,1.94
TX,1978,13286797,20441,2453,22892,1219,3896,5115,21660,6349,28007,2.11
UT,1978,1436148,1869,233,2102,54,435,489,1923,668,2591,1.8
VA,1978,5173874,7688,465,8153,382,1299,1681,8070,1764,9834,1.9
VI,1978,0,,,,,,,,,,
VT,1978,534997,459,44,503,12,80,92,471,124,595,1.11
WA,1978,3933238,5061,530,5581,223,1067,1290,5284,1597,6871,1.75
WI,1978,4703707,8997,503,9464,310,1125,1435,9307,1628,10899,2.32
WV,1978,2140256,2468,263,2731,127,448,575,2595,711,3306,1.54
WY,1978,499964,877,69,946,51,265,316,928,334,1262,2.52
AK,1979,455041,541,40,581,49,172,221,590,212,802,1.76
AL,1979,3935045,5905,848,6753,405,986,1391,6310,1834,8144,2.07
AR,1979,2296596,2795,295,3090,227,470,697,3022,765,3787,1.65
AS,1979,0,,,,,,,,,,
AZ,1979,2471651,4681,876,5557,211,1294,1505,4892,2170,7062,2.86
CA,1979,23197269,46111,5849,51926,2422,11251,13673,48533,17100,65599,2.83
CO,1979,2909125,6293,564,6857,454,1482,1936,6747,2046,8793,3.02
CT,1979,3474807,5817,296,6112,144,528,672,5961,824,6784,1.95
CZ,1979,44650,0,0,,,,,,,,
DC,1979,656000,3707,247,3954,327,302,629,4034,549,4583,6.99
DE,1979,582357,845,63,908,26,128,154,871,191,1062,1.82
FL,1979,8925333,17141,3195,20334,1138,4911,6049,18279,8106,26383,2.96
FS,1979,0,,,,,,,,,,
GA,1979,5772670,10068,911,10979,753,1614,2367,10821,2525,13346,2.31
GM,1979,86926,0,0,,,,,,,,
HI,1979,946842,2234,115,2061,42,278,320,2276,393,2381,2.51
IA,1979,2911703,3940,429,4369,172,896,1068,4112,1325,5437,1.87
ID,1979,927486,1536,39,1564,215,267,482,1751,306,2046,2.21
IL,1979,11774032,26479,1758,28233,932,4189,5121,27411,5947,33354,2.83
IN,1979,5936123,7395,750,8145,403,1364,1767,7798,2114,9912,1.67
KS,1979,2447159,3652,336,3988,349,797,1146,4001,1133,5134,2.1
KY,1979,3537205,3964,389,4308,258,654,912,4222,1043,5220,1.48
LA,1979,4050176,7555,527,8082,1218,785,2003,8773,1312,10085,2.49
MA,1979,6187539,13102,535,13637,264,919,1183,13366,1454,14820,2.4
MD,1979,4236650,8946,627,9573,417,1173,1590,9363,1800,11163,2.63
ME,1979,1106721,1511,128,1639,52,185,237,1563,313,1876,1.7
MI,1979,10327529,18560,1557,20099,1263,2569,3832,19823,4126,23931,2.32
MN,1979,4118832,5978,471,6444,172,921,1093,6150,1392,7537,1.83
MO,1979,5367475,9869,1749,11612,513,1886,2399,10382,3635,14011,2.61
MP,1979,0,,,,,,,,,,
MS,1979,2881545,3098,312,3410,270,429,699,3368,741,4109,1.43
MT,1979,823036,1361,133,1490,27,414,441,1388,547,1931,2.35
NB,1979,1699135,2546,293,2837,84,652,736,2630,945,3573,2.1
NC,1979,5737631,9195,760,9955,594,1116,1710,9789,1876,11665,2.03
ND,1979,662498,800,61,861,84,106,190,884,167,1051,1.59
NH,1979,1024238,1323,89,1412,48,180,228,1371,269,1640,1.6
NJ,1979,7340586,21279,1622,22877,604,2749,3353,21883,4371,26230,3.57
NM,1979,1515477,2252,355,2607,151,815,966,2403,1170,3573,2.36
NV,1979,711679,2208,143,2351,135,660,795,2343,803,3146,4.42
NY,1979,19025563,43974,5883,49857,918,1782,2700,44892,7665,52557,2.76
OH,1979,11899341,16857,1070,17922,729,2258,2987,17586,3328,20909,1.76
OK,1979,3152852,4786,427,5208,293,824,1117,5079,1251,6325,2.01
OR,1979,2555622,3425,236,3658,167,1006,1173,3592,1242,4831,1.89
OT,1979,0,,,,,,,,,,
PA,1979,12403300,20264,1255,21519,534,1442,1976,20798,2697,23495,1.89
PR,1979,3045000,0,0,,,,,,,,
RI,1979,955688,1906,188,2094,28,173,201,1934,361,2295,2.4
SC,1979,3020141,4161,392,4553,201,709,910,4362,1101,5463,1.81
SD,1979,740623,776,73,849,31,189,220,807,262,1069,1.44
TN,1979,4622845,6985,669,7654,306,1294,1600,7291,1963,9254,2
TX,1979,13527681,20830,2176,23004,1408,4438,5846,22238,6614,28850,2.13
UT,1979,1540658,2042,241,2283,56,524,580,2098,765,2863,1.86
VA,1979,5211399,7771,471,8242,448,1363,1811,8219,1834,10053,1.93
VI,1979,0,,,,,,,,,,
VT,1979,566920,480,42,522,13,107,120,493,149,642,1.13
WA,1979,4075105,5114,574,5678,220,1178,1398,5334,1752,7076,1.74
WI,1979,4771676,9127,591,9684,389,1180,1569,9516,1771,11253,2.36
WV,1979,2413952,2712,253,2965,144,508,652,2856,761,3617,1.5
WY,1979,477397,892,76,968,59,264,323,951,340,1291,2.7
AK,1980,440491,534,37,571,52,179,231,586,216,802,1.82
AL,1980,4063282,5858,778,6636,389,1102,1491,6247,1880,8127,2
AR,1980,2402396,2593,289,2882,245,465,710,2838,754,3592,1.5
AS,1980,0,,,,,,,,,,
AZ,1980,2737503,4710,854,5564,218,1430,1648,4928,2284,7212,2.63
CA,1980,23683603,39744,5220,44964,2546,10527,13073,42290,15747,58037,2.45
CO,1980,3749326,6579,492,7071,560,1716,2276,7139,2208,9347,2.49
CT,1980,3253353,5218,246,5464,150,510,660,5368,756,6124,1.88
CZ,1980,44650,,,,,,,,,,
DC,1980,635233,3336,215,3551,316,271,587,3652,486,4138,6.51
DE,1980,654345,701,43,744,27,115,142,728,158,886,1.35
FL,1980,9638637,17159,3180,20339,1138,5063,6201,18297,8243,26540,2.75
FS,1980,0,,,,,,,,,,
GA,1980,6106466,10232,839,11071,833,1793,2626,11065,2632,13697,2.24
GM,1980,86926,0,0,,,,,,,,
HI,1980,1011103,2258,120,2090,64,285,349,2322,405,2439,2.41
IA,1980,3411219,4055,363,4418,179,936,1115,4234,1299,5533,1.62
ID,1980,964450,1312,47,1359,215,277,492,1527,324,1851,1.92
IL,1980,12416687,25331,1692,27023,960,3765,4725,26291,5457,31748,2.56
IN,1980,6136075,7264,786,8050,390,1407,1797,7654,2193,9847,1.6
KS,1980,2457742,3533,293,3826,342,781,1123,3875,1074,4949,2.01
KY,1980,3654743,3763,323,4086,235,740,975,3998,1063,5061,1.38
LA,1980,5131478,8741,684,9425,1597,946,2543,10338,1630,11968,2.33
MA,1980,6150271,12638,625,13263,267,929,1196,12905,1554,14459,2.35
MD,1980,4267003,8248,589,8837,427,1228,1655,8675,1817,10492,2.46
ME,1980,1131572,1383,113,1496,49,193,242,1432,306,1738,1.54
MI,1980,9587295,16006,1603,17609,870,2107,2977,16876,3710,20586,2.15
MN,1980,4117052,5487,378,5865,182,914,1096,5669,1292,6961,1.69
MO,1980,5347717,7827,903,8730,491,1462,1953,8318,2365,10683,2
MP,1980,0,,,,,,,,,,
MS,1980,3331906,1972,223,2195,180,275,455,2152,498,2650,0.8
MT,1980,854067,925,122,1047,21,310,331,946,432,1378,1.61
NB,1980,1648290,2035,215,2250,63,571,634,2098,786,2884,1.75
NC,1980,5898232,8933,787,9720,654,1152,1806,9587,1939,11526,1.95
ND,1980,657335,835,44,879,75,119,194,910,163,1073,1.63
NH,1980,1106302,1346,79,1425,40,213,253,1386,292,1678,1.52
NJ,1980,7351440,20173,1666,21815,488,2754,3242,20661,4420,25057,3.41
NM,1980,1626497,2350,414,2764,167,823,990,2517,1237,3754,2.31
NV,1980,821084,1997,116,2113,156,600,756,2153,716,2869,3.49
NY,1980,18892971,46295,3819,47217,1204,4236,5440,47499,8055,52657,2.79
OH,1980,12218354,16070,1204,17269,529,2481,3010,16599,3685,20279,1.66
OK,1980,3323740,4827,430,5252,291,927,1218,5118,1357,6470,1.95
OR,1980,2850529,3727,232,3956,168,1133,1301,3895,1365,5257,1.84
OT,1980,0,,,,,,,,,,
PA,1980,12404916,19722,1321,21043,621,1539,2160,20343,2860,23203,1.87
PR,1980,3045000,0,0,,,,,,,,
RI,1980,953431,1895,183,2078,34,173,207,1929,356,2285,2.4
SC,1980,3146597,4169,418,4587,202,745,947,4371,1163,5534,1.76
SD,1980,790725,813,84,897,34,195,229,847,279,1126,1.42
TN,1980,4800035,7265,857,8122,341,1121,1462,7606,1978,9584,2
TX,1980,15935044,24277,2667,26942,1677,5096,6773,25954,7763,33715,2.12
UT,1980,1522440,1925,226,2151,49,527,576,1974,753,2727,1.79
VA,1980,5340521,8059,501,8560,502,1530,2032,8561,2031,10592,1.98
VI,1980,0,,,,,,,,,,
VT,1980,572113,489,31,520,14,109,123,503,140,643,1.12
WA,1980,4216422,5393,563,5946,294,1262,1556,5687,1825,7502,1.78
WI,1980,4744227,9291,614,9871,422,1251,1673,9713,1865,11544,2.43
WV,1980,2216751,2328,227,2555,151,429,580,2479,656,3135,1.41
WY,1980,486071,950,67,1017,63,335,398,1013,402,1415,2.91
AK,1981,588995,569,49,618,57,223,280,626,272,898,1.52
AL,1981,4252065,6136,856,6992,355,1194,1549,6491,2050,8541,2.01
AR,1981,2560223,2841,351,3192,251,510,761,3092,861,3953,1.54
AS,1981,0,,,,,,,,,,
AZ,1981,2807829,4707,1007,5714,216,1457,1673,4923,2464,7387,2.63
CA,1981,24289535,41258,5520,46778,2853,11145,13998,44111,16665,60776,2.5
CO,1981,3204197,6082,410,6397,622,1509,2131,6704,1919,8528,2.66
CT,1981,3550362,5799,306,6105,187,578,765,5986,884,6870,1.94
CZ,1981,44650,,,,,,,,,,
DC,1981,636000,3273,140,3413,321,307,628,3594,447,4041,6.35
DE,1981,598000,676,23,699,19,73,92,695,96,791,1.32
FL,1981,10283872,18232,3427,21659,1418,5608,7026,19650,9035,28685,2.79
FS,1981,0,,,,,,,,,,
GA,1981,6132645,10414,793,11207,935,1799,2734,11349,2592,13941,2.27
GM,1981,86926,0,0,,,,,,,,
HI,1981,1026095,2311,246,2269,75,184,259,2386,430,2528,2.46
IA,1981,3417520,3877,379,4256,173,931,1104,4050,1310,5360,1.57
ID,1981,1008442,1393,52,1445,243,253,496,1636,305,1941,1.92
IL,1981,12355938,25457,2714,28171,1052,3918,4970,26509,6632,33141,2.68
IN,1981,5890559,7370,723,8093,458,1460,1918,7828,2183,10011,1.7
KS,1981,2474415,3538,305,3843,357,819,1176,3895,1124,5019,2.03
KY,1981,4276966,4330,437,4767,278,735,1013,4608,1172,5780,1.35
LA,1981,5033348,8352,590,8942,1705,947,2652,10057,1537,11594,2.3
MA,1981,6637481,13017,647,13664,312,1001,1313,13329,1648,14977,2.26
MD,1981,4498987,8624,789,9413,515,1242,1757,9139,2031,11170,2.48
ME,1981,1139937,1443,153,1596,72,193,265,1515,346,1861,1.63
MI,1981,9848202,15175,1084,16259,907,2064,2971,16082,3148,19230,1.95
MN,1981,4112731,5416,442,5858,192,944,1136,5608,1386,6994,1.7
MO,1981,5434450,7650,938,8588,822,1467,2289,8472,2405,10877,2
MP,1981,0,,,,,,,,,,
MS,1981,3342754,2424,226,2650,213,364,577,2637,590,3227,0.97
MT,1981,1496031,1893,273,2166,52,612,664,1945,885,2830,1.89
NB,1981,1740859,2150,262,2412,98,557,655,2248,819,3067,1.76
NC,1981,6057577,9074,775,9849,686,1276,1962,9760,2051,11811,1.95
ND,1981,662940,853,64,917,73,130,203,926,194,1120,1.69
NH,1981,1281731,1861,183,2044,51,304,355,1912,487,2399,1.87
NJ,1981,7406962,20480,1327,21783,550,2657,3207,21030,3984,24990,3.37
NM,1981,1649179,2515,425,2940,225,816,1041,2740,1241,3981,2.41
NV,1981,919125,2159,127,2286,171,639,810,2330,766,3096,3.37
NY,1981,21191323,50589,3997,54586,1623,5826,7449,52212,9823,62035,2.93
OH,1981,12099445,15751,1079,16822,586,2360,2946,16337,3439,19768,1.63
OK,1981,3448360,4917,415,5322,316,980,1296,5233,1395,6618,1.92
OR,1981,2673242,3485,195,3674,179,1018,1197,3664,1213,4871,1.82
OT,1981,0,,,,,,,,,,
PA,1981,12471488,19234,1272,20506,739,1545,2284,19973,2817,22790,1.83
PR,1981,3045000,0,0,,,,,,,,
RI,1981,956539,1862,192,2054,31,155,186,1893,347,2240,2.34
SC,1981,3304351,4254,364,4618,240,756,996,4494,1120,5614,1.7
SD,1981,819938,819,78,897,41,202,243,860,280,1140,1.39
TN,1981,5267452,7696,902,8574,388,1188,1576,8084,2090,10150,1.93
TX,1981,16631519,24864,2908,27770,1782,5473,7255,26646,8381,35025,2.11
UT,1981,1644765,2073,221,2294,66,564,630,2139,785,2924,1.78
VA,1981,6008465,8982,498,9480,595,1700,2295,9577,2198,11775,1.96
VI,1981,0,,,,,,,,,,
VT,1981,546221,435,28,463,11,102,113,446,130,576,1.05
WA,1981,5132551,6048,735,6773,308,1527,1835,6356,2262,8608,1.68
WI,1981,6215408,12335,913,13214,566,1793,2359,12901,2706,15573,2.51
WV,1981,2256120,2361,253,2614,162,416,578,2523,669,3192,1.41
WY,1981,515221,1057,57,1114,74,363,437,1131,420,1551,3.01
AK,1982,493282,626,42,668,59,214,273,685,256,941,1.91
AL,1982,4238973,6069,860,6929,362,1221,1583,6431,2081,8512,2.01
AR,1982,2462354,2846,340,3186,235,539,774,3081,879,3960,1.61
AS,1982,0,,,,,,,,,,
AZ,1982,2927262,4857,1082,5939,235,1567,1802,5092,2649,7741,2.64
CA,1982,24926804,41851,5657,47508,3001,11625,14626,44852,17282,62134,2.49
CO,1982,3155414,5873,489,6362,564,1524,2088,6437,2013,8450,2.68
CT,1982,3309952,5459,240,5699,192,599,791,5651,839,6490,1.96
CZ,1982,44650,,,,,,,,,,
DC,1982,631000,3442,236,3678,419,288,707,3861,524,4385,6.95
DE,1982,605860,694,44,738,24,120,144,718,164,882,1.46
FL,1982,10544006,18737,4885,23622,1439,6332,7771,20176,11217,31393,2.98
FS,1982,0,,,,,,,,,,
GA,1982,6433794,11303,998,12301,1064,2014,3078,12367,3012,15379,2.39
GM,1982,86926,0,0,,,,,,,,
HI,1982,1041835,2344,140,2196,93,348,441,2437,488,2637,2.53
IA,1982,4724970,5225,506,5731,232,1323,1555,5457,1829,7286,1.54
ID,1982,990969,1442,36,1478,312,194,506,1754,230,1984,2
IL,1982,12229451,25183,2664,27847,1179,4232,5411,26362,6896,33258,2.72
IN,1982,5992526,7437,822,8259,493,1455,1948,7930,2277,10207,1.7
KS,1982,2461251,3598,313,3911,344,871,1215,3942,1184,5126,2.08
KY,1982,4990466,4457,520,4977,328,617,945,4785,1137,5922,1.19
LA,1982,4722853,7261,408,7669,1532,796,2328,8793,1204,9997,2.12
MA,1982,6048244,11927,626,12553,307,925,1232,12234,1551,13785,2.28
MD,1982,4343762,8510,742,9252,561,1294,1855,9071,2036,11107,2.56
ME,1982,1152066,1455,181,1636,56,208,264,1511,389,1900,1.65
MI,1982,13005916,20304,1603,21907,1207,3030,4237,21511,4633,26144,2.01
MN,1982,4147125,5290,435,5725,178,930,1108,5468,1365,6833,1.65
MO,1982,5314100,7910,907,8817,563,1477,2040,8473,2384,10857,2.04
MP,1982,0,,,,,,,,,,
MS,1982,3160590,2739,333,3072,238,473,711,2977,806,3783,1.2
MT,1982,1438898,1704,235,1939,47,572,619,1751,807,2558,1.78
NB,1982,1806770,2155,289,2444,104,627,731,2259,916,3175,1.76
NC,1982,6182401,9226,834,10060,734,1361,2095,9960,2195,12155,1.97
ND,1982,677459,780,37,817,79,128,207,859,165,1024,1.51
NH,1982,1082895,1565,146,1711,36,271,307,1601,417,2018,1.86
NJ,1982,7444263,20685,1331,21992,587,2899,3486,21272,4230,25478,3.42
NM,1982,1508323,2292,345,2637,211,734,945,2503,1079,3582,2.37
NV,1982,949245,2091,148,2239,197,694,891,2288,842,3130,3.3
NY,1982,20463264,47897,3783,51680,1870,6374,8244,49767,10157,59924,2.93
OH,1982,12161005,17807,1091,18893,1035,3090,4125,18842,4181,23018,1.89
OK,1982,3263711,4787,435,5217,335,942,1277,5122,1377,6494,1.99
OR,1982,2665622,3405,218,3620,189,982,1171,3594,1200,4791,1.8
OT,1982,0,,,,,,,,,,
PA,1982,12435209,18917,1293,20210,815,1590,2405,19732,2883,22615,1.82
PR,1982,3045000,0,0,,,,,,,,
RI,1982,962568,1879,192,2071,35,174,209,1914,366,2280,2.37
SC,1982,3281510,4152,415,4567,244,789,1033,4396,1204,5600,1.71
SD,1982,836114,846,73,919,41,214,255,887,287,1174,1.4
TN,1982,5205554,7552,905,8351,380,1232,1612,7932,2137,9963,1.91
TX,1982,15466942,22898,2932,25828,1822,5381,7203,24720,8313,33031,2.14
UT,1982,1644310,2123,256,2379,63,570,633,2186,826,3012,1.83
VA,1982,5493803,8440,483,8923,641,1597,2238,9081,2080,11161,2.03
VI,1982,0,,,,,,,,,,
VT,1982,543642,467,32,499,24,113,137,491,145,636,1.17
WA,1982,4679824,5725,631,6346,292,1414,1706,6017,2045,8052,1.72
WI,1982,5120660,10157,834,10957,509,1525,2034,10666,2359,12991,2.54
WV,1982,2099327,2240,281,2521,120,417,537,2360,698,3058,1.46
WY,1982,525171,1134,105,1239,81,382,463,1215,487,1702,3.24
AK,1983,528802,1019,207,1226,63,511,574,1082,718,1800,3.4
AL,1983,4226834,6773,1127,7900,375,1609,1984,7148,2736,9884,2.34
AR,1983,2429207,3339,440,3779,251,670,921,3590,1110,4700,1.93
AS,1983,0,,,,,,,,,,
AZ,1983,2983794,5780,1507,7287,286,1888,2174,6066,3395,9461,3.17
CA,1983,25576674,47817,7275,55092,3515,13272,16787,51332,20547,71879,2.81
CO,1983,3192526,6451,541,6992,621,1659,2280,7072,2200,9272,2.9
CT,1983,3213208,6342,478,6820,250,828,1078,6592,1306,7898,2.46
CZ,1983,0,,,,,,,,,,
DC,1983,623000,3442,236,3678,419,288,707,3861,524,4385,7.04
DE,1983,607678,1101,92,1193,42,178,220,1143,270,1413,2.33
FL,1983,10816904,20842,5521,26363,1723,7404,9127,22565,12925,35490,3.28
FS,1983,0,,,,,,,,,,
GA,1983,6911853,13324,1446,14770,1230,2563,3793,14554,4009,18563,2.69
GM,1983,0,0,0,,,,,,,,
HI,1983,1072227,2360,150,2222,108,355,463,2468,505,2685,2.5
IA,1983,2917664,3940,472,4412,150,935,1085,4090,1407,5497,1.88
ID,1983,1022130,1607,58,1665,232,303,535,1839,361,2200,2.15
IL,1983,12034956,26286,2705,28991,1295,5533,6828,27581,8238,35819,2.98
IN,1983,5976966,8427,1089,9516,514,1728,2242,8941,2817,11758,1.97
KS,1983,2467501,4082,487,4569,309,1033,1342,4391,1520,5911,2.4
KY,1983,4089665,4968,774,5742,320,950,1270,5288,1724,7012,1.71
LA,1983,4781289,9859,647,10506,1807,1204,3011,11666,1851,13517,2.83
MA,1983,5990854,13323,787,14110,444,1087,1531,13767,1874,15641,2.61
MD,1983,4385408,9904,828,10732,685,1596,2281,10589,2424,13013,2.97
ME,1983,1157686,1392,142,1534,45,200,245,1437,342,1779,1.54
MI,1983,12348380,20973,2210,23183,1164,3412,4576,22137,5622,27759,2.25
MN,1983,4158158,5863,527,6390,201,1030,1231,6064,1557,7621,1.83
MO,1983,5337658,8779,1446,10225,609,1833,2442,9388,3279,12667,2.37
MP,1983,0,,,,,,,,,,
MS,1983,3202120,3831,535,4366,279,823,1102,4110,1358,5468,1.71
MT,1983,1184087,1658,217,1875,43,516,559,1701,733,2434,2.06
NB,1983,1758771,2925,373,3298,124,795,919,3049,1168,4217,2.4
NC,1983,6269952,10758,1056,11814,850,1522,2372,11608,2578,14186,2.26
ND,1983,694144,899,88,987,87,165,252,986,253,1239,1.78
NH,1983,1112329,1589,128,1717,62,297,359,1651,425,2076,1.87
NJ,1983,7471424,23011,1819,24806,641,3334,3975,23652,5153,28781,3.85
NM,1983,1485007,3048,537,3585,196,1138,1334,3244,1675,4919,3.31
NV,1983,956344,2299,146,2445,224,747,971,2523,893,3416,3.57
NY,1983,21654614,52043,4104,56147,2333,6996,9329,54376,11100,65476,3.02
OH,1983,11441378,17963,1675,19633,1091,3341,4432,19054,5016,24065,2.1
OK,1983,3377386,5489,729,6213,340,1263,1603,5829,1992,7816,2.31
OR,1983,2696841,4114,212,4323,210,1087,1297,4324,1299,5620,2.08
OT,1983,0,,,,,,,,,,
PA,1983,12333192,22263,1702,23965,917,2024,2941,23180,3726,26906,2.18
PR,1983,0,0,0,,,,,,,,
RI,1983,959553,2043,215,2258,39,193,232,2082,408,2490,2.59
SC,1983,3355016,5087,471,5558,261,864,1125,5348,1335,6683,1.99
SD,1983,776765,929,103,1032,41,222,263,970,325,1295,1.67
TN,1983,5007531,8154,990,9144,457,1609,2066,8611,2599,11210,2.24
TX,1983,15945804,26852,4167,31017,2132,7549,9681,28984,11716,40698,2.55
UT,1983,1666057,2538,341,2879,79,681,760,2617,1022,3639,2.18
VA,1983,5610894,10009,695,10704,691,1964,2655,10700,2659,13359,2.38
VI,1983,0,,,,,,,,,,
VT,1983,542358,709,109,818,29,150,179,738,259,997,1.84
WA,1983,4360981,6161,869,7025,283,1528,1811,6444,2397,8836,2.03
WI,1983,5002594,9841,793,10600,559,1491,2050,10400,2284,12650,2.53
WV,1983,2388403,2549,418,2967,134,501,635,2683,919,3602,1.51
WY,1983,514784,1252,113,1365,62,444,506,1314,557,1871,3.63
AK,1984,794181,1388,231,1619,103,608,711,1491,839,2330,2.93
AL,1984,4212538,6751,1139,7890,381,1719,2100,7132,2858,9990,2.37
AR,1984,2414691,3322,421,3743,222,746,968,3544,1167,4711,1.95
AS,1984,0,,,,,,,,,,
AZ,1984,3180289,6102,1574,7676,336,2118,2454,6438,3692,10130,3.19
CA,1984,25830910,48657,7130,55787,3754,14231,17985,52411,21361,73772,2.86
CO,1984,3251321,6538,645,7183,637,1804,2441,7175,2449,9624,2.96
CT,1984,3246603,6507,483,6990,297,878,1175,6804,1361,8165,2.51
CZ,1984,0,,,,,,,,,,
DC,1984,623000,3407,239,3646,472,258,730,3879,497,4376,7.02
DE,1984,614795,1116,103,1219,43,196,239,1159,299,1458,2.37
FL,1984,11004237,21316,5936,27252,1856,7751,9607,23172,13687,36859,3.35
FS,1984,0,,,,,,,,,,
GA,1984,7692037,13500,1214,14714,1466,2607,4073,14966,3821,18787,2.44
GM,1984,0,0,0,,,,,,,,
HI,1984,1088227,2433,163,2308,114,344,458,2547,507,2766,2.54
IA,1984,2922583,3822,384,4206,146,879,1025,3968,1263,5231,1.79
ID,1984,1034699,1646,61,1707,248,304,552,1894,365,2259,2.18
IL,1984,12291668,26572,2731,29303,1349,4340,5689,27921,7071,34992,2.85
IN,1984,6083536,8291,1175,9466,496,1783,2279,8787,2958,11745,1.93
KS,1984,2509807,4140,526,4666,333,1057,1390,4473,1583,6056,2.41
KY,1984,4281910,5032,780,5812,348,978,1326,5380,1758,7138,1.67
LA,1984,4803265,10077,742,10819,2010,1278,3288,12087,2020,14107,2.94
MA,1984,6322791,13708,878,14586,522,1132,1654,14230,2010,16240,2.57
MD,1984,4442872,10370,1161,11531,744,1794,2538,11114,2955,14069,3.17
ME,1984,1163943,1756,264,2020,62,297,359,1818,561,2379,2.04
MI,1984,9552459,17229,1580,18809,1085,2895,3980,18314,4475,22789,2.39
MN,1984,4175935,5814,630,6444,220,1021,1241,6034,1651,7685,1.84
MO,1984,5508885,8946,1493,10439,644,1791,2435,9590,3284,12874,2.34
MP,1984,0,,,,,,,,,,
MS,1984,3087051,3949,505,4454,285,841,1126,4234,1346,5580,1.81
MT,1984,908732,1409,210,1619,33,416,449,1442,626,2068,2.28
NB,1984,1771440,2590,293,2883,133,722,855,2723,1015,3738,2.11
NC,1984,6255229,10678,1085,11763,939,1596,2535,11617,2681,14298,2.29
ND,1984,722940,923,91,1014,95,158,253,1018,249,1267,1.75
NH,1984,1390579,1964,143,2107,74,359,433,2038,502,2540,1.83
NJ,1984,7525032,23633,1882,25491,778,3691,4469,24411,5573,29960,3.98
NM,1984,1621550,2873,490,3363,190,1088,1278,3063,1578,4641,2.86
NV,1984,932060,2228,172,2400,191,763,954,2419,935,3354,3.6
NY,1984,20612841,53260,4337,57597,2741,9114,11855,56001,13451,69452,3.37
OH,1984,11500359,18025,1693,19713,1147,3294,4441,19172,4987,24154,2.1
OK,1984,3383303,5659,607,6261,398,1272,1670,6057,1879,7931,2.34
OR,1984,2717959,4124,233,4354,205,1085,1290,4329,1318,5644,2.08
OT,1984,0,,,,,,,,,,
PA,1984,12577897,22280,1693,23973,988,2071,3059,23268,3764,27032,2.15
PR,1984,0,0,0,,,,,,,,
RI,1984,970875,2083,218,2301,46,205,251,2129,423,2552,2.63
SC,1984,3377274,5207,401,5608,294,960,1254,5501,1361,6862,2.03
SD,1984,770108,916,103,1019,43,193,236,959,296,1255,1.63
TN,1984,5294289,8339,1344,9683,458,2028,2486,8797,3372,12169,2.3
TX,1984,16228191,28196,4214,32408,2408,7937,10345,30604,12151,42753,2.63
UT,1984,1686936,2635,297,2932,100,670,770,2735,967,3702,2.19
VA,1984,5640009,10232,674,10906,790,2025,2815,11022,2699,13721,2.43
VI,1984,0,,,,,,,,,,
VT,1984,693876,872,98,970,45,213,258,917,311,1228,1.77
WA,1984,4956824,6515,1155,7665,327,1673,2000,6842,2828,9665,1.95
WI,1984,5042598,10214,831,11011,706,1633,2339,10920,2464,13350,2.65
WV,1984,2196572,2844,576,3420,120,689,809,2964,1265,4229,1.93
WY,1984,511000,1257,129,1386,97,425,522,1354,554,1908,3.73
AK,1985,590255,1002,124,1126,67,380,447,1069,504,1573,2.66
AL,1985,4292706,6811,1267,8078,405,1871,2276,7216,3138,10354,2.41
AR,1985,2457026,3377,452,3829,217,792,1009,3594,1244,4838,1.97
AS,1985,0,,,,,,,,,,
AZ,1985,3332623,6157,1968,8125,400,2334,2734,6557,4302,10859,3.26
CA,1985,26567051,47784,7072,54856,3776,15200,18976,51560,22272,73832,2.78
CO,1985,3261293,6519,709,7228,644,1886,2530,7163,2595,9758,2.99
CT,1985,3242075,6469,469,6938,313,907,1220,6782,1376,8158,2.52
CZ,1985,0,,,,,,,,,,
DC,1985,626000,3340,210,3550,497,294,791,3837,504,4341,6.93
DE,1985,655478,1173,81,1254,52,194,246,1225,275,1500,2.29
FL,1985,11394870,21864,6327,28191,2052,8396,10448,23916,14723,38639,3.39
FS,1985,0,,,,,,,,,,
GA,1985,7386216,13655,1455,15110,1504,2953,4457,15159,4408,19567,2.65
GM,1985,0,0,0,,,,,,,,
