state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
MA,1962,5400078,8249,497,,,,,,,,
MD,1962,3457442,4713,504,,,,,,,,
ME,1962,1112813,1098,149,,,,,,,,
MI,1962,8359145,10985,1338,,,,,,,,
MN,1962,3601546,2701,217,,,,,,,,
MO,1962,4695736,4340,927,,,,,,,,
MP,1962,0,,,,,,,,,,
MS,1962,2699431,600,84,,,,,,,,
MT,1962,761846,512,51,,,,,,,,
NB,1962,1614651,905,152,,,,,,,,
NC,1962,5533280,2754,235,,,,,,,,
ND,1962,688210,353,26,,,,,,,,
NH,1962,716987,463,24,,,,,,,,
NJ,1962,6729993,10113,703,,,,,,,,
NM,1962,1284374,730,140,,,,,,,,
NV,1962,366594,451,87,,,,,,,,
NY,1962,18394921,36493,2234,,,,,,,,
OH,1962,10601576,8811,1098,,,,,,,,
OK,1962,2778299,1499,184,,,,,,,,
OR,1962,1962817,1487,237,,,,,,,,
OT,1962,0,,,,,,,,,,
PA,1962,12398353,11565,1068,,,,,,,,
PR,1962,0,0,0,,,,,,,,
RI,1962,903013,1103,94,,,,,,,,
SC,1962,3152403,1094,121,,,,,,,,
SD,1962,789154,306,28,,,,,,,,
TN,1962,4301705,1887,256,,,,,,,,
TX,1962,10167310,7625,1211,,,,,,,,
UT,1962,0,530,73,,,,,,,,
VA,1962,0,2873,331,,,,,,,,
VI,1962,0,,,,,,,,,,
VT,1962,0,166,6,,,,,,,,
WA,1962,0,2611,300,,,,,,,,
WI,1962,0,4619,322,,,,,,,,
WV,1962,0,453,47,,,,,,,,
WY,1962,0,278,91,,,,,,,,
AK,1963,248000,116,29,,,,,,,,
AL,1963,4555809,1679,279,,,,,,,,
AR,1963,2302117,641,70,,,,,,,,
AS,1963,0,,,,,,,,,,
AZ,1963,1654782,1631,228,,,,,,,,
CA,1963,18184281,20780,4191,,,,,,,,
CO,1963,2081360,1814,294,,,,,,,,
CT,1963,2766716,3407,221,,,,,,,,
CZ,1963,86400,0,0,,,,,,,,
DC,1963,798000,2941,219,,,,,,,,
DE,1963,491373,297,41,,,,,,,,
FL,1963,6350259,5774,1532,,,,,,,,
FS,1963,0,,,,,,,,,,
GA,1963,5463901,2584,259,,,,,,,,
GM,1963,64600,,,,,,,,,,
HI,1963,699619,462,28,,,,,,,,
IA,1963,3015350,1601,245,,,,,,,,
ID,1963,861064,557,72,,,,,,,,
IL,1963,11003888,4778,539,,,,,,,,
IN,1963,4912614,3865,373,,,,,,,,
KS,1963,2317422,1374,183,,,,,,,,
KY,1963,3676361,1747,198,,,,,,,,
LA,1963,4147809,2403,229,,,,,,,,
MA,1963,5476527,8370,496,,,,,,,,
MD,1963,3568354,4943,498,,,,,,,,
ME,1963,1134988,631,59,,,,,,,,
MI,1963,8418977,9481,963,,,,,,,,
MN,1963,3651218,2867,246,,,,,,,,
MO,1963,4708732,4419,936,,,,,,,,
MP,1963,0,,,,,,,,,,
MS,1963,3123021,688,91,,,,,,,,
MT,1963,765243,643,80,,,,,,,,
NB,1963,1619684,1001,179,,,,,,,,
NC,1963,5614419,2863,239,,,,,,,,
ND,1963,681839,406,35,,,,,,,,
NH,1963,812975,425,23,,,,,,,,
NJ,1963,6771297,9988,780,,,,,,,,
NM,1963,1319650,761,132,,,,,,,,
NV,1963,396288,683,99,,,,,,,,
NY,1963,18663260,40451,2125,,,,,,,,
OH,1963,10615572,8626,1058,,,,,,,,
OK,1963,2984917,1655,182,,,,,,,,
OR,1963,1914449,1848,282,,,,,,,,
OT,1963,0,,,,,,,,,,
PA,1963,12124198,11319,1020,,,,,,,,
PR,1963,2529000,0,0,,,,,,,,
RI,1963,921580,1097,94,,,,,,,,
SC,1963,2845455,1060,110,,,,,,,,
SD,1963,824531,374,32,,,,,,,,
TN,1963,4679293,2283,365,,,,,,,,
TX,1963,12105325,7684,1233,,,,,,,,
UT,1963,1085829,563,72,,,,,,,,
VA,1963,4936079,3110,316,,,,,,,,
VI,1963,0,,,,,,,,,,
VT,1963,455543,165,8,,,,,,,,
WA,1963,3119623,2896,367,,,,,,,,
WI,1963,4375413,4698,332,,,,,,,,
WV,1963,1923036,512,43,,,,,,,,
WY,1963,393093,293,64,,,,,,,,
AK,1964,260673,209,33,,,,,,,,
AL,1964,4293233,1597,267,,,,,,,,
AR,1964,2369054,669,60,,,,,,,,
AS,1964,0,,,,,,,,,,
AZ,1964,1639330,2010,252,,,,,,,,
CA,1964,18779661,19452,4062,,,,,,,,
CO,1964,2214987,1821,282,,,,,,,,
CT,1964,2899008,3197,181,,,,,,,,
CZ,1964,42796,0,0,,,,,,,,
DC,1964,808000,2884,229,,,,,,,,
DE,1964,502284,296,39,,,,,,,,
FL,1964,6823406,5986,1682,,,,,,,,
FS,1964,0,,,,,,,,,,
GA,1964,5025419,2278,243,,,,,,,,
GM,1964,64363,,,,,,,,,,
HI,1964,742484,883,137,,,,,,,,
IA,1964,3005632,1670,276,,,,,,,,
ID,1964,769636,545,71,,,,,,,,
IL,1964,11446357,4678,548,,,,,,,,
IN,1964,5567233,3979,396,,,,,,,,
KS,1964,2505209,1510,233,,,,,,,,
KY,1964,3776484,1835,245,,,,,,,,
LA,1964,4317841,2418,272,,,,,,,,
MA,1964,5449565,8258,485,,,,,,,,
MD,1964,4010923,5187,617,,,,,,,,
ME,1964,1102746,614,84,,,,,,,,
MI,1964,8858493,9901,1094,,,,,,,,
MN,1964,3741890,2926,257,,,,,,,,
MO,1964,4955628,4472,1010,,,,,,,,
MP,1964,0,,,,,,,,,,
MS,1964,2963400,735,115,,,,,,,,
MT,1964,778893,599,65,,,,,,,,
NB,1964,1664964,944,161,,,,,,,,
NC,1964,5635810,2952,246,,,,,,,,
ND,1964,715488,380,32,,,,,,,,
NH,1964,742212,512,27,,,,,,,,
NJ,1964,6876001,9961,840,,,,,,,,
NM,1964,1247435,685,111,,,,,,,,
NV,1964,450263,894,140,,,,,,,,
NY,1964,19013081,38290,2335,,,,,,,,
OH,1964,10891958,9169,1108,,,,,,,,
OK,1964,2914000,1753,183,,,,,,,,
OR,1964,2131794,1876,289,,,,,,,,
OT,1964,0,,,,,,,,,,
PA,1964,12217913,12092,1178,,,,,,,,
PR,1964,2577000,0,0,,,,,,,,
RI,1964,933089,1241,121,,,,,,,,
SC,1964,2982740,969,108,,,,,,,,
SD,1964,840926,375,41,,,,,,,,
TN,1964,4506932,2137,291,,,,,,,,
TX,1964,11922302,8400,1294,,,,,,,,
UT,1964,1103611,515,96,,,,,,,,
VA,1964,4887828,3198,388,,,,,,,,
VI,1964,0,,,,,,,,,,
VT,1964,466042,173,16,,,,,,,,
WA,1964,3092130,2812,365,,,,,,,,
WI,1964,4454336,4904,395,,,,,,,,
WV,1964,1840000,554,59,,,,,,,,
WY,1964,389112,277,58,,,,,,,,
AK,1965,416796,125,45,,,,,,,,
AL,1965,4074150,2116,314,,,,,,,,
AR,1965,2230318,768,65,,,,,,,,
AS,1965,0,,,,,,,,,,
AZ,1965,1710093,1884,258,,,,,,,,
CA,1965,19465525,24615,6253,,,,,,,,
CO,1965,2094256,1904,313,,,,,,,,
CT,1965,2974598,3675,230,,,,,,,,
CZ,1965,42964,0,0,,,,,,,,
DC,1965,803000,2911,248,,,,,,,,
DE,1965,520028,314,40,,,,,,,,
FL,1965,6336569,4967,1157,,,,,,,,
FS,1965,0,,,,,,,,,,
GA,1965,4960391,2322,238,,,,,,,,
GM,1965,127386,,,,,,,,,,
HI,1965,707238,1157,148,,,,,,,,
IA,1965,3099469,1762,266,,,,,,,,
ID,1965,764272,566,75,,,,,,,,
IL,1965,11287752,15328,2179,,,,,,,,
IN,1965,5318096,4198,420,,,,,,,,
KS,1965,2344588,1880,305,,,,,,,,
KY,1965,3471976,1729,226,,,,,,,,
LA,1965,4141215,3427,449,,,,,,,,
MA,1965,5459775,8713,519,,,,,,,,
MD,1965,4038809,5761,735,,,,,,,,
ME,1965,1182080,666,60,,,,,,,,
MI,1965,8739284,10165,1165,,,,,,,,
MN,1965,3846645,3005,266,,,,,,,,
MO,1965,4912766,4767,1086,,,,,,,,
MP,1965,0,,,,,,,,,,
MS,1965,2767257,785,112,,,,,,,,
MT,1965,854135,578,59,,,,,,,,
NB,1965,1625708,956,163,,,,,,,,
NC,1965,5361226,2634,192,,,,,,,,
ND,1965,656860,400,37,,,,,,,,
NH,1965,670694,452,23,,,,,,,,
NJ,1965,6954498,10685,855,,,,,,,,
NM,1965,1273033,892,141,,,,,,,,
NV,1965,426264,832,134,,,,,,,,
NY,1965,18805764,39732,2912,,,,,,,,
OH,1965,11024448,9548,1164,,,,,,,,
OK,1965,2775055,1567,193,,,,,,,,
OR,1965,2046571,1935,335,,,,,,,,
OT,1965,0,,,,,,,,,,
PA,1965,12081776,13410,1134,,,,,,,,
PR,1965,5262978,0,0,,,,,,,,
RI,1965,1016676,1331,124,,,,,,,,
SC,1965,3027777,946,104,,,,,,,,
SD,1965,810625,327,47,,,,,,,,
TN,1965,4198762,2639,488,,,,,,,,
TX,1965,11754032,9067,1425,,,,,,,,
UT,1965,1153407,714,124,,,,,,,,
VA,1965,4715131,3218,376,,,,,,,,
VI,1965,0,,,,,,,,,,
VT,1965,425535,133,9,,,,,,,,
WA,1965,3180458,2725,346,,,,,,,,
WI,1965,4400364,5283,382,,,,,,,,
WV,1965,1975835,522,44,,,,,,,,
WY,1965,363883,308,75,,,,,,,,
AK,1966,263131,156,38,,,,,,,,
AL,1966,3900760,2173,356,,,,,,,,
